omega_keV,dPhi_dw_ma0keV_cm2_s_keV,dPhi_dw_ma10keV_cm2_s_keV,dPhi_dw_ma130keV_cm2_s_keV
3.0485,7.619095e+10,0.000000e+00,0.000000e+00
3.0885,7.612603e+10,0.000000e+00,0.000000e+00
3.1285,7.602954e+10,0.000000e+00,0.000000e+00
3.1684,7.590242e+10,0.000000e+00,0.000000e+00
3.2084,7.574558e+10,0.000000e+00,0.000000e+00
3.2484,7.555994e+10,0.000000e+00,0.000000e+00
3.2884,7.534644e+10,0.000000e+00,0.000000e+00
3.3284,7.510599e+10,0.000000e+00,0.000000e+00
3.3683,7.483950e+10,0.000000e+00,0.000000e+00
3.4083,7.454791e+10,0.000000e+00,0.000000e+00
3.4483,7.423210e+10,0.000000e+00,0.000000e+00
3.4883,7.389298e+10,0.000000e+00,0.000000e+00
3.5283,7.353143e+10,0.000000e+00,0.000000e+00
3.5682,7.314835e+10,0.000000e+00,0.000000e+00
3.6082,7.274461e+10,0.000000e+00,0.000000e+00
3.6482,7.232106e+10,0.000000e+00,0.000000e+00
3.6882,7.187855e+10,0.000000e+00,0.000000e+00
3.7282,7.141793e+10,0.000000e+00,0.000000e+00
3.7681,7.094001e+10,0.000000e+00,0.000000e+00
3.8081,7.044561e+10,0.000000e+00,0.000000e+00
3.8481,6.993553e+10,0.000000e+00,0.000000e+00
3.8881,6.941056e+10,0.000000e+00,0.000000e+00
3.9281,6.887145e+10,0.000000e+00,0.000000e+00
3.9680,6.831897e+10,0.000000e+00,0.000000e+00
4.0080,6.775385e+10,0.000000e+00,0.000000e+00
4.0480,6.717682e+10,0.000000e+00,0.000000e+00
4.0880,6.658858e+10,0.000000e+00,0.000000e+00
4.1280,6.598984e+10,0.000000e+00,0.000000e+00
4.1679,6.538126e+10,0.000000e+00,0.000000e+00
4.2079,6.476351e+10,0.000000e+00,0.000000e+00
4.2479,6.413723e+10,0.000000e+00,0.000000e+00
4.2879,6.350304e+10,0.000000e+00,0.000000e+00
4.3279,6.286157e+10,0.000000e+00,0.000000e+00
4.3678,6.221340e+10,0.000000e+00,0.000000e+00
4.4078,6.155912e+10,0.000000e+00,0.000000e+00
4.4478,6.089928e+10,0.000000e+00,0.000000e+00
4.4878,6.023445e+10,0.000000e+00,0.000000e+00
4.5278,5.956514e+10,0.000000e+00,0.000000e+00
4.5677,5.889187e+10,0.000000e+00,0.000000e+00
4.6077,5.821515e+10,0.000000e+00,0.000000e+00
4.6477,5.753546e+10,0.000000e+00,0.000000e+00
4.6877,5.685326e+10,0.000000e+00,0.000000e+00
4.7277,5.616901e+10,0.000000e+00,0.000000e+00
4.7676,5.548316e+10,0.000000e+00,0.000000e+00
4.8076,5.479611e+10,0.000000e+00,0.000000e+00
4.8476,5.410829e+10,0.000000e+00,0.000000e+00
4.8876,5.342009e+10,0.000000e+00,0.000000e+00
4.9276,5.273189e+10,0.000000e+00,0.000000e+00
4.9675,5.204405e+10,0.000000e+00,0.000000e+00
5.0075,5.135693e+10,0.000000e+00,0.000000e+00
5.0475,5.067086e+10,0.000000e+00,0.000000e+00
5.0875,4.998618e+10,0.000000e+00,0.000000e+00
5.1275,4.930320e+10,0.000000e+00,0.000000e+00
5.1674,4.862222e+10,0.000000e+00,0.000000e+00
5.2074,4.794351e+10,0.000000e+00,0.000000e+00
5.2474,4.726737e+10,0.000000e+00,0.000000e+00
5.2874,4.659406e+10,0.000000e+00,0.000000e+00
5.3274,4.592382e+10,0.000000e+00,0.000000e+00
5.3673,4.525689e+10,0.000000e+00,0.000000e+00
5.4073,4.459352e+10,0.000000e+00,0.000000e+00
5.4473,4.393391e+10,0.000000e+00,0.000000e+00
5.4873,4.327827e+10,0.000000e+00,0.000000e+00
5.5273,4.262680e+10,0.000000e+00,0.000000e+00
5.5672,4.197968e+10,0.000000e+00,0.000000e+00
5.6072,4.133710e+10,0.000000e+00,0.000000e+00
5.6472,4.069923e+10,0.000000e+00,0.000000e+00
5.6872,4.006621e+10,0.000000e+00,0.000000e+00
5.7272,3.943820e+10,0.000000e+00,0.000000e+00
5.7671,3.881535e+10,0.000000e+00,0.000000e+00
5.8071,3.819777e+10,0.000000e+00,0.000000e+00
5.8471,3.758560e+10,0.000000e+00,0.000000e+00
5.8871,3.697896e+10,0.000000e+00,0.000000e+00
5.9271,3.637794e+10,0.000000e+00,0.000000e+00
5.9670,3.578265e+10,0.000000e+00,0.000000e+00
6.0070,3.519318e+10,0.000000e+00,0.000000e+00
6.0470,3.460962e+10,0.000000e+00,0.000000e+00
6.0870,3.403204e+10,0.000000e+00,0.000000e+00
6.1270,3.346052e+10,0.000000e+00,0.000000e+00
6.1669,3.289513e+10,0.000000e+00,0.000000e+00
6.2069,3.233591e+10,0.000000e+00,0.000000e+00
6.2469,3.178293e+10,0.000000e+00,0.000000e+00
6.2869,3.123623e+10,0.000000e+00,0.000000e+00
6.3269,3.069586e+10,0.000000e+00,0.000000e+00
6.3668,3.016184e+10,0.000000e+00,0.000000e+00
6.4068,2.963422e+10,0.000000e+00,0.000000e+00
6.4468,2.911302e+10,0.000000e+00,0.000000e+00
6.4868,2.859825e+10,0.000000e+00,0.000000e+00
6.5268,2.808993e+10,0.000000e+00,0.000000e+00
6.5667,2.758809e+10,0.000000e+00,0.000000e+00
6.6067,2.709271e+10,0.000000e+00,0.000000e+00
6.6467,2.660382e+10,0.000000e+00,0.000000e+00
6.6867,2.612140e+10,0.000000e+00,0.000000e+00
6.7267,2.564545e+10,0.000000e+00,0.000000e+00
6.7666,2.517597e+10,0.000000e+00,0.000000e+00
6.8066,2.471295e+10,0.000000e+00,0.000000e+00
6.8466,2.425636e+10,0.000000e+00,0.000000e+00
6.8866,2.380620e+10,0.000000e+00,0.000000e+00
6.9266,2.336243e+10,0.000000e+00,0.000000e+00
6.9665,2.292505e+10,0.000000e+00,0.000000e+00
7.0065,2.249401e+10,0.000000e+00,0.000000e+00
7.0465,2.206930e+10,0.000000e+00,0.000000e+00
7.0865,2.165087e+10,0.000000e+00,0.000000e+00
7.1265,2.123870e+10,0.000000e+00,0.000000e+00
7.1664,2.083275e+10,0.000000e+00,0.000000e+00
7.2064,2.043299e+10,0.000000e+00,0.000000e+00
7.2464,2.003936e+10,0.000000e+00,0.000000e+00
7.2864,1.965183e+10,0.000000e+00,0.000000e+00
7.3264,1.927036e+10,0.000000e+00,0.000000e+00
